ticker,sector
ABMM,"Energy"
ARII,"Energy"
ATLA,"Energy"
BBRM,"Energy"
BESS,"Energy"
BOAT,"Energy"
BSML,"Energy"
BSSR,"Energy"
BULL,"Energy"
CANI,"Energy"
CGAS,"Energy"
COAL,"Energy"
DWGL,"Energy"
ELSA,"Energy"
FIRE,"Energy"
HRUM,"Energy"
IATA,"Energy"
INDY,"Energy"
ITMA,"Energy"
KKGI,"Energy"
KOPI,"Energy"
MAHA,"Energy"
MBAP,"Energy"
MCOL,"Energy"
MKAP,"Energy"
MYOH,"Energy"
PKPK,"Energy"
PSAT,"Energy"
PSSI,"Energy"
PTIS,"Energy"
RAJA,"Energy"
RATU,"Energy"
RGAS,"Energy"
RMKE,"Energy"
RMKO,"Energy"
RUIS,"Energy"
SEMA,"Energy"
SGER,"Energy"
SICO,"Energy"
SMMT,"Energy"
SOCI,"Energy"
SUNI,"Energy"
TCPI,"Energy"
TEBE,"Energy"
TOBA,"Energy"
TPMA,"Energy"
UNIQ,"Energy"
WINS,"Energy"
WOWS,"Energy"
ADMG,"Basic Materials"
AGII,"Basic Materials"
AKPI,"Basic Materials"
ALDO,"Basic Materials"
ALKA,"Basic Materials"
APLI,"Basic Materials"
ASPR,"Basic Materials"
AYLS,"Basic Materials"
BATR,"Basic Materials"
BLES,"Basic Materials"
BMSR,"Basic Materials"
BRNA,"Basic Materials"
CHEM,"Basic Materials"
CITA,"Basic Materials"
CLPI,"Basic Materials"
CTBN,"Basic Materials"
DGWG,"Basic Materials"
DKFT,"Basic Materials"
EKAD,"Basic Materials"
EPAC,"Basic Materials"
ESIP,"Basic Materials"
ESSA,"Basic Materials"
FASW,"Basic Materials"
FPNI,"Basic Materials"
FWCT,"Basic Materials"
GDST,"Basic Materials"
GGRP,"Basic Materials"
IFII,"Basic Materials"
IFSH,"Basic Materials"
IGAR,"Basic Materials"
INCI,"Basic Materials"
INTD,"Basic Materials"
IPOL,"Basic Materials"
ISSP,"Basic Materials"
KDSI,"Basic Materials"
KKES,"Basic Materials"
LMSH,"Basic Materials"
LTLS,"Basic Materials"
MDKI,"Basic Materials"
MINE,"Basic Materials"
NICE,"Basic Materials"
NICL,"Basic Materials"
NIKL,"Basic Materials"
OBMD,"Basic Materials"
OKAS,"Basic Materials"
PACK,"Basic Materials"
PBID,"Basic Materials"
PDPP,"Basic Materials"
PICO,"Basic Materials"
PPRI,"Basic Materials"
PSAB,"Basic Materials"
PTMR,"Basic Materials"
SAMF,"Basic Materials"
SBMA,"Basic Materials"
SMBR,"Basic Materials"
SMCB,"Basic Materials"
SMGA,"Basic Materials"
SMKL,"Basic Materials"
SMLE,"Basic Materials"
SOLA,"Basic Materials"
SPMA,"Basic Materials"
SULI,"Basic Materials"
TALF,"Basic Materials"
TBMS,"Basic Materials"
TIRT,"Basic Materials"
TRST,"Basic Materials"
UNIC,"Basic Materials"
WTON,"Basic Materials"
YPAS,"Basic Materials"
AMFG,"Industrials"
AMIN,"Industrials"
APII,"Industrials"
ARNA,"Industrials"
ASGR,"Industrials"
BINO,"Industrials"
BLUE,"Industrials"
CAKK,"Industrials"
CCSI,"Industrials"
CRSN,"Industrials"
DYAN,"Industrials"
FOLK,"Industrials"
GPSO,"Industrials"
HOPE,"Industrials"
HYGN,"Industrials"
ICON,"Industrials"
IKAI,"Industrials"
IKBI,"Industrials"
JECC,"Industrials"
JTPE,"Industrials"
KBLI,"Industrials"
KBLM,"Industrials"
KIAS,"Industrials"
KING,"Industrials"
KOBX,"Industrials"
KOIN,"Industrials"
KONI,"Industrials"
KUAS,"Industrials"
LION,"Industrials"
MARK,"Industrials"
MFMI,"Industrials"
MHKI,"Industrials"
MLIA,"Industrials"
MUTU,"Industrials"
NAIK,"Industrials"
NTBK,"Industrials"
PADA,"Industrials"
PTMP,"Industrials"
SCCO,"Industrials"
SKRN,"Industrials"
SMIL,"Industrials"
SOSS,"Industrials"
SPTO,"Industrials"
