snapshot_date,ticker,issuer_name,sector,subsector,universe_rank,current_tradeable,production_actionable,data_quality_state,liquidity_state,selection_reason,membership_state,runtime_ranking_eligible
2026-09-09,BBCA,PT Bank Central Asia Tbk.,Keuangan,Bank,1,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,TPIA,PT Chandra Asri Pacific Tbk,Barang Baku,Barang Baku,2,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan,Bank,3,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BMRI,PT Bank Mandiri (Persero) Tbk,Keuangan,Bank,4,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,DSSA,Dian Swastatika Sentosa Tbk,Energi,"Minyak, Gas & Batu Bara",5,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BUMI,Bumi Resources Tbk,Energi,"Minyak, Gas & Batu Bara",6,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AMMN,PT Amman Mineral Internasional Tbk.,Barang Baku,Barang Baku,7,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,CUAN,PT Petrindo Jaya Kreasi Tbk,Energi,"Minyak, Gas & Batu Bara",8,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ANTM,PT ANTAM (Persero) Tbk,Barang Baku,Barang Baku,9,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BRPT,Barito Pacific Tbk,Barang Baku,Barang Baku,10,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,TLKM,PT Telkom Indonesia (Persero) Tbk,Infrastruktur,Telekomunikasi,11,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,DEWA,Darma Henwa Tbk,Energi,"Minyak, Gas & Batu Bara",12,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BRMS,Bumi Resources Minerals Tbk,Barang Baku,Barang Baku,13,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ASII,Astra International Tbk,Perindustrian,Perusahaan Holding Multi Sektor,14,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BBNI,PT Bank Negara Indonesia (Persero) Tbk,Keuangan,Bank,15,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BULL,PT Buana Lintas Lautan Tbk.,Energi,"Minyak, Gas & Batu Bara",16,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BREN,PT Barito Renewables Energy Tbk.,Infrastruktur,Utilitas,17,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ENRG,Energi Mega Persada Tbk,Energi,"Minyak, Gas & Batu Bara",18,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MDKA,PT Merdeka Copper Gold Tbk.,Barang Baku,Barang Baku,19,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,UNTR,United Tractors Tbk,Perindustrian,Barang Perindustrian,20,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PTRO,Petrosea Tbk,Energi,"Minyak, Gas & Batu Bara",21,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,AADI,PT Adaro Andalan Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara",22,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ISAT,PT Indosat Tbk,Infrastruktur,Telekomunikasi,23,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,ADRO,Alamtri Resources Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara",24,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,IATA,PT Karya Pacific Energy Tbk,Energi,"Minyak, Gas & Batu Bara",25,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,KOTA,PT DMS Propertindo Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,26,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,CPIN,Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer,Makanan & Minuman,27,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
